OrderNumber,Sales Channel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,CurrencyCode,_SalesTeamID,_CustomerID,_StoreID,_ProductID,Order Quantity,Discount Applied,Unit Price,Unit Cost
SO - 000195,Distributor,WARE-NMK1003,4/10/2018,6/12/2018,6/28/2018,7/3/2018,USD,24,17,99,33,7,0.15,"1,092.10",436.84
SO - 000196,Wholesale,WARE-XYS1001,12/31/2017,6/12/2018,6/25/2018,6/27/2018,USD,27,5,21,17,7,0.05,187.60,144.45
SO - 000197,Online,WARE-NMK1003,12/31/2017,6/12/2018,7/9/2018,7/16/2018,USD,18,30,90,1,4,0.05,"3,993.20","2,835.17"
SO - 000198,Online,WARE-MKL1006,12/31/2017,6/12/2018,6/15/2018,6/18/2018,USD,14,9,360,15,5,0.05,"2,472.30","1,433.93"
SO - 000199,In-Store,WARE-XYS1001,4/10/2018,6/12/2018,7/5/2018,7/14/2018,USD,4,47,23,47,4,0.05,"1,206.00",844.20
SO - 000200,Online,WARE-NMK1003,12/31/2017,6/12/2018,6/22/2018,6/29/2018,USD,20,5,144,40,5,0.05,"1,728.60",985.30
SO - 000201,Wholesale,WARE-NMK1003,12/31/2017,6/12/2018,6/20/2018,6/29/2018,USD,28,23,134,23,7,0.075,"1,983.20","1,447.74"
SO - 000202,Online,WARE-NMK1003,4/10/2018,6/12/2018,7/10/2018,7/14/2018,USD,20,14,180,11,2,0.2,"5,313.10","2,656.55"
SO - 000203,Distributor,WARE-XYS1001,4/10/2018,6/12/2018,6/17/2018,6/25/2018,USD,20,44,58,23,5,0.075,871.00,566.15
SO - 000204,Online,WARE-NMK1003,12/31/2017,6/13/2018,6/27/2018,7/1/2018,USD,12,38,175,43,2,0.1,"2,532.60","2,051.41"
SO - 000205,Online,WARE-NMK1003,4/10/2018,6/13/2018,6/25/2018,6/26/2018,USD,14,14,95,1,4,0.075,"5,916.10","4,673.72"
SO - 000206,Online,WARE-UHY1004,12/31/2017,6/13/2018,6/23/2018,7/1/2018,USD,13,34,231,31,1,0.075,"2,887.70","1,443.85"
SO - 000207,In-Store,WARE-NMK1003,12/31/2017,6/13/2018,6/20/2018,6/22/2018,USD,1,13,199,11,7,0.1,"1,855.90","1,447.60"
SO - 000208,In-Store,WARE-XYS1001,4/10/2018,6/13/2018,6/17/2018,6/19/2018,USD,2,5,58,39,5,0.1,207.70,135.01
SO - 000209,In-Store,WARE-MKL1006,12/31/2017,6/13/2018,6/29/2018,7/6/2018,USD,2,2,345,3,3,0.05,"1,058.60",772.78
SO - 000210,Online,WARE-UHY1004,4/10/2018,6/13/2018,7/3/2018,7/13/2018,USD,13,17,241,20,7,0.1,958.10,517.37
SO - 000211,In-Store,WARE-NMK1003,4/10/2018,6/13/2018,7/8/2018,7/18/2018,USD,6,40,186,27,7,0.2,"2,659.90","1,675.74"
SO - 000212,In-Store,WARE-NMK1003,12/31/2017,6/13/2018,7/5/2018,7/13/2018,USD,7,15,144,8,3,0.1,"2,217.70","1,707.63"
SO - 000213,Online,WARE-XYS1001,12/31/2017,6/14/2018,6/17/2018,6/20/2018,USD,20,12,40,11,1,0.3,"1,715.20",857.60
SO - 000214,In-Store,WARE-PUJ1005,4/10/2018,6/14/2018,7/6/2018,7/9/2018,USD,6,25,288,32,7,0.15,"3,932.90","1,691.15"
SO - 000215,In-Store,WARE-NMK1003,12/31/2017,6/14/2018,6/19/2018,6/20/2018,USD,2,13,169,40,2,0.05,"2,546.00","1,909.50"
SO - 000216,Online,WARE-PUJ1005,12/31/2017,6/14/2018,6/26/2018,7/1/2018,USD,15,18,277,21,1,0.075,837.50,603.00
SO - 000217,Online,WARE-UHY1004,4/10/2018,6/14/2018,6/26/2018,7/5/2018,USD,16,3,219,12,3,0.15,"1,809.00","1,302.48"
SO - 000218,Wholesale,WARE-PUJ1005,4/10/2018,6/14/2018,6/29/2018,7/3/2018,USD,26,25,306,11,8,0.075,857.60,514.56
SO - 000219,In-Store,WARE-XYS1001,12/31/2017,6/14/2018,6/30/2018,7/7/2018,USD,8,11,7,22,6,0.05,"1,748.70","1,101.68"
SO - 000220,Wholesale,WARE-NBV1002,12/31/2017,6/14/2018,6/16/2018,6/17/2018,USD,28,44,78,4,1,0.075,"1,266.30",582.50
SO - 000221,In-Store,WARE-XYS1001,12/31/2017,6/14/2018,6/16/2018,6/22/2018,USD,3,30,28,9,5,0.1,"5,058.50","3,591.54"
SO - 000222,Distributor,WARE-XYS1001,4/10/2018,6/14/2018,6/28/2018,7/6/2018,USD,22,38,39,6,7,0.05,958.10,795.22
SO - 000223,Online,WARE-NMK1003,12/31/2017,6/14/2018,7/10/2018,7/14/2018,USD,19,47,122,2,8,0.15,"1,802.30",756.97
SO - 000224,In-Store,WARE-XYS1001,4/10/2018,6/15/2018,7/7/2018,7/16/2018,USD,4,17,48,32,4,0.075,"6,298.00","4,534.56"
SO - 000225,Online,WARE-XYS1001,12/31/2017,6/15/2018,7/2/2018,7/6/2018,USD,18,28,1,30,1,0.1,"2,499.10","1,824.34"
SO - 000226,In-Store,WARE-NMK1003,4/10/2018,6/15/2018,6/19/2018,6/23/2018,USD,8,5,198,23,3,0.1,871.00,705.51
SO - 000227,In-Store,WARE-UHY1004,12/31/2017,6/15/2018,7/12/2018,7/18/2018,USD,1,32,242,5,1,0.05,750.40,360.19
SO - 000228,Wholesale,WARE-NMK1003,4/10/2018,6/15/2018,6/23/2018,6/27/2018,USD,27,21,200,14,8,0.075,763.80,504.11
SO - 000229,In-Store,WARE-PUJ1005,12/31/2017,6/15/2018,6/26/2018,7/2/2018,USD,5,49,304,25,6,0.1,844.20,565.61
SO - 000230,In-Store,WARE-XYS1001,4/10/2018,6/15/2018,7/5/2018,7/14/2018,USD,2,6,31,27,7,0.05,261.30,112.36
SO - 000231,Online,WARE-NBV1002,12/31/2017,6/15/2018,7/6/2018,7/16/2018,USD,19,47,71,33,2,0.05,"3,999.90","2,359.94"
SO - 000232,In-Store,WARE-UHY1004,12/31/2017,6/15/2018,6/25/2018,7/3/2018,USD,4,32,250,18,6,0.05,"1,112.20",811.91
SO - 000233,In-Store,WARE-NMK1003,4/10/2018,6/15/2018,6/26/2018,7/4/2018,USD,10,18,167,2,2,0.075,"2,633.10","1,843.17"
SO - 000234,Distributor,WARE-NMK1003,12/31/2017,6/15/2018,7/9/2018,7/13/2018,USD,22,8,132,4,6,0.2,"1,018.40",631.41
SO - 000235,In-Store,WARE-XYS1001,4/10/2018,6/15/2018,6/27/2018,6/30/2018,USD,1,24,56,21,4,0.15,"5,219.30","3,444.74"
SO - 000236,Distributor,WARE-UHY1004,4/10/2018,6/15/2018,7/13/2018,7/20/2018,USD,21,11,259,26,1,0.15,"3,999.90","2,359.94"
SO - 000237,Online,WARE-MKL1006,4/10/2018,6/16/2018,6/27/2018,7/1/2018,USD,20,50,341,25,5,0.4,"1,721.90","1,084.80"
SO - 000238,In-Store,WARE-NMK1003,12/31/2017,6/16/2018,7/5/2018,7/12/2018,USD,10,7,195,37,6,0.15,737.00,456.94
SO - 000239,Online,WARE-XYS1001,4/10/2018,6/16/2018,7/7/2018,7/15/2018,USD,19,2,33,40,3,0.05,"1,219.40",695.06
SO - 000240,In-Store,WARE-PUJ1005,12/31/2017,6/16/2018,7/12/2018,7/17/2018,USD,2,18,279,41,8,0.05,891.10,712.88
SO - 000241,In-Store,WARE-NMK1003,4/10/2018,6/16/2018,7/14/2018,7/18/2018,USD,7,28,148,9,1,0.15,978.20,743.43
SO - 000242,In-Store,WARE-NMK1003,4/10/2018,6/16/2018,7/1/2018,7/10/2018,USD,11,47,170,17,1,0.15,"3,946.30","1,657.45"
SO - 000243,In-Store,WARE-NMK1003,4/10/2018,6/16/2018,7/5/2018,7/6/2018,USD,3,27,181,38,2,0.4,"1,299.80",922.86
SO - 000244,Online,WARE-NBV1002,4/10/2018,6/17/2018,7/14/2018,7/24/2018,USD,19,21,77,12,4,0.05,"5,815.60","2,791.49"
SO - 000245,In-Store,WARE-NMK1003,4/10/2018,6/17/2018,7/8/2018,7/10/2018,USD,3,43,122,23,6,0.15,"1,092.10",655.26
SO - 000246,Distributor,WARE-XYS1001,4/10/2018,6/17/2018,7/10/2018,7/17/2018,USD,24,42,36,18,6,0.15,"1,072.00",643.20
SO - 000247,Online,WARE-UHY1004,4/10/2018,6/17/2018,7/8/2018,7/9/2018,USD,17,34,217,16,5,0.05,"4,020.00","2,653.20"
SO - 000248,Online,WARE-NBV1002,4/10/2018,6/17/2018,7/10/2018,7/15/2018,USD,20,37,63,12,4,0.15,984.90,669.73
SO - 000249,Distributor,WARE-MKL1006,4/10/2018,6/17/2018,7/2/2018,7/4/2018,USD,21,50,341,7,7,0.05,227.80,100.23
SO - 000250,In-Store,WARE-XYS1001,12/31/2017,6/17/2018,6/23/2018,6/26/2018,USD,3,17,36,35,3,0.15,"3,993.20","3,314.36"
SO - 000251,Online,WARE-NMK1003,12/31/2017,6/17/2018,6/29/2018,7/8/2018,USD,12,25,163,26,4,0.075,221.10,185.72
SO - 000252,Online,WARE-NMK1003,4/10/2018,6/18/2018,7/4/2018,7/14/2018,USD,12,21,101,43,6,0.075,"3,356.70","2,819.63"
SO - 000253,In-Store,WARE-PUJ1005,12/31/2017,6/18/2018,7/9/2018,7/15/2018,USD,1,35,321,12,1,0.05,"1,701.80","1,157.22"
SO - 000254,In-Store,WARE-PUJ1005,4/10/2018,6/18/2018,7/8/2018,7/9/2018,USD,3,9,276,8,3,0.15,"2,566.10","2,181.19"
SO - 000255,In-Store,WARE-NMK1003,12/31/2017,6/18/2018,6/22/2018,6/26/2018,USD,6,22,101,5,4,0.05,221.10,126.03
SO - 000256,In-Store,WARE-UHY1004,4/10/2018,6/18/2018,6/30/2018,7/5/2018,USD,5,28,248,4,1,0.1,"1,782.20",980.21
SO - 000257,Distributor,WARE-NMK1003,12/31/2017,6/18/2018,7/15/2018,7/16/2018,USD,24,41,95,35,8,0.05,"2,003.30",801.32
SO - 000258,Distributor,WARE-XYS1001,12/31/2017,6/18/2018,7/9/2018,7/16/2018,USD,20,28,33,5,5,0.075,"2,385.20","1,502.68"
SO - 000259,Online,WARE-XYS1001,4/10/2018,6/18/2018,7/11/2018,7/17/2018,USD,13,22,12,21,1,0.1,"2,231.10","1,784.88"
SO - 000260,In-Store,WARE-NMK1003,4/10/2018,6/18/2018,7/2/2018,7/7/2018,USD,10,26,119,35,1,0.05,"1,005.00",412.05
SO - 000261,Distributor,WARE-PUJ1005,4/10/2018,6/18/2018,7/12/2018,7/19/2018,USD,23,12,290,40,7,0.05,"2,693.40","1,939.25"
SO - 000262,Online,WARE-NMK1003,4/10/2018,6/18/2018,7/10/2018,7/11/2018,USD,17,31,110,36,4,0.075,"1,105.50",652.25
SO - 000263,Online,WARE-NBV1002,4/10/2018,6/19/2018,7/10/2018,7/17/2018,USD,17,25,87,39,1,0.075,"1,909.50","1,088.42"
SO - 000264,Distributor,WARE-NMK1003,4/10/2018,6/19/2018,6/21/2018,6/26/2018,USD,21,35,177,38,7,0.2,"1,118.90",850.36
SO - 000265,In-Store,WARE-NMK1003,4/10/2018,6/19/2018,6/28/2018,7/3/2018,USD,11,45,94,8,7,0.2,"1,038.50",758.11
SO - 000266,In-Store,WARE-NMK1003,12/31/2017,6/19/2018,6/28/2018,7/4/2018,USD,1,19,126,19,6,0.05,"6,324.80","4,300.86"
SO - 000267,In-Store,WARE-XYS1001,12/31/2017,6/19/2018,6/27/2018,7/1/2018,USD,3,16,17,9,7,0.2,"1,005.00",502.50
SO - 000268,In-Store,WARE-NMK1003,4/10/2018,6/19/2018,7/14/2018,7/17/2018,USD,3,15,178,2,5,0.075,"1,293.10",659.48
SO - 000269,In-Store,WARE-NBV1002,4/10/2018,6/19/2018,7/16/2018,7/26/2018,USD,1,8,76,36,6,0.4,844.20,540.29
SO - 000270,In-Store,WARE-PUJ1005,4/10/2018,6/19/2018,7/7/2018,7/14/2018,USD,6,27,318,1,4,0.05,247.90,195.84
SO - 000271,Distributor,WARE-UHY1004,12/31/2017,6/19/2018,6/26/2018,6/28/2018,USD,21,12,217,21,7,0.3,174.20,139.36
SO - 000272,In-Store,WARE-PUJ1005,4/10/2018,6/20/2018,7/11/2018,7/17/2018,USD,2,30,278,12,6,0.1,"1,025.10",707.32
SO - 000273,Distributor,WARE-MKL1006,12/31/2017,6/20/2018,7/1/2018,7/6/2018,USD,21,19,341,23,3,0.15,"3,068.60","2,301.45"
SO - 000274,Online,WARE-NMK1003,12/31/2017,6/20/2018,7/9/2018,7/11/2018,USD,16,44,122,3,2,0.075,241.20,115.78
SO - 000275,In-Store,WARE-NMK1003,4/10/2018,6/20/2018,7/12/2018,7/17/2018,USD,11,24,200,47,1,0.2,174.20,139.36
